"Date et heure locale";"Bordeaux (Garonne) (m)";"Bayon-sur-Gironde [Bec d'Ambès] (Dordogne) (m)";"Ambès [Le Marquis] (Garonne) (m)";"Bassens (Garonne) (m)"
"2026-01-08 03:45:00";1,3;1,04;1;1,15
"2026-01-08 03:50:00";1,26;1;0,97;1,12
"2026-01-08 03:55:00";1,23;0,96;0,93;1,08
"2026-01-08 04:00:00";1,19;0,92;0,89;1,04
"2026-01-08 04:05:00";1,14;0,88;0,84;1,01
"2026-01-08 04:10:00";1,11;0,84;0,81;0,96
"2026-01-08 04:15:00";1,08;0,82;0,78;0,93
"2026-01-08 04:20:00";1,04;0,78;0,75;0,91
"2026-01-08 04:25:00";1;0,75;0,7;0,86
"2026-01-08 04:30:00";0,97;0,72;0,68;0,83
"2026-01-08 04:35:00";0,93;0,69;0,64;0,79
"2026-01-08 04:40:00";0,9;0,66;0,62;0,76
"2026-01-08 04:45:00";0,87;0,63;0,58;0,73
"2026-01-08 04:50:00";0,83;0,6;0,56;0,69
"2026-01-08 04:55:00";0,79;0,57;0,52;0,66
"2026-01-08 05:00:00";0,76;0,54;0,49;0,63
"2026-01-08 05:05:00";0,72;0,52;0,46;0,59
"2026-01-08 05:10:00";0,69;0,5;0,43;0,56
"2026-01-08 05:15:00";0,66;0,51;0,4;0,54
"2026-01-08 05:20:00";0,63;0,52;0,38;0,5
"2026-01-08 05:25:00";0,6;0,56;0,37;0,48
"2026-01-08 05:30:00";0,58;0,67;0,36;0,45
"2026-01-08 05:35:00";0,55;0,85;0,37;0,42
"2026-01-08 05:40:00";0,52;1,06;0,42;0,39
"2026-01-08 05:45:00";0,48;1,22;0,54;0,37
"2026-01-08 05:50:00";0,46;1,36;0,74;0,34
"2026-01-08 05:55:00";0,43;1,49;0,94;0,32
"2026-01-08 06:00:00";0,41;1,62;1,11;0,31
"2026-01-08 06:05:00";0,38;1,76;1,25;0,31
"2026-01-08 06:10:00";0,36;1,89;1,38;0,34
"2026-01-08 06:15:00";0,35;2;1,53;0,48
"2026-01-08 06:20:00";0,35;2,11;1,67;0,83
"2026-01-08 06:25:00";0,41;2,21;1,79;1,06
"2026-01-08 06:30:00";0,7;2,32;1,94;1,23
"2026-01-08 06:35:00";1,03;2,42;2,07;1,4
"2026-01-08 06:40:00";1,24;2,53;2,2;1,56
"2026-01-08 06:45:00";1,46;2,64;2,31;1,73
"2026-01-08 06:50:00";1,65;2,74;2,44;1,9
"2026-01-08 06:55:00";1,82;2,84;2,57;2,08
"2026-01-08 07:00:00";1,98;2,94;2,68;2,22
"2026-01-08 07:05:00";2,13;3,04;2,78;2,36
"2026-01-08 07:10:00";2,27;3,14;2,9;2,48
"2026-01-08 07:15:00";2,41;3,24;3,02;2,61
"2026-01-08 07:20:00";2,52;3,35;3,13;2,74
"2026-01-08 07:25:00";2,68;3,44;3,25;2,86
"2026-01-08 07:30:00";2,81;3,53;3,36;2,97
"2026-01-08 07:35:00";2,94;3,62;3,46;3,11
"2026-01-08 07:40:00";3,05;3,73;3,57;3,22
"2026-01-08 07:45:00";3,16;3,82;3,67;3,33
"2026-01-08 07:50:00";3,26;3,9;3,77;3,44
"2026-01-08 07:55:00";3,37;3,99;3,87;3,54
"2026-01-08 08:00:00";3,5;4,08;3,96;3,64
"2026-01-08 08:05:00";3,6;4,17;4,06;3,75
"2026-01-08 08:10:00";3,72;4,25;4,15;3,86
"2026-01-08 08:15:00";3,81;4,34;4,24;3,95
"2026-01-08 08:20:00";3,92;4,41;4,33;4,05
"2026-01-08 08:25:00";4,02;4,49;4,4;4,14
"2026-01-08 08:30:00";4,1;4,56;4,47;4,23
"2026-01-08 08:35:00";4,19;4,64;4,55;4,32
"2026-01-08 08:40:00";4,28;4,71;4,62;4,41
"2026-01-08 08:45:00";4,37;4,78;4,68;4,49
"2026-01-08 08:50:00";4,47;4,85;4,75;4,57
"2026-01-08 08:55:00";4,55;4,92;4,82;4,65
"2026-01-08 09:00:00";4,63;4,97;4,88;4,72
"2026-01-08 09:05:00";4,7;5,02;4,95;4,79
"2026-01-08 09:10:00";4,77;5,06;5;4,85
"2026-01-08 09:15:00";4,83;5,1;5,04;4,91
"2026-01-08 09:20:00";4,9;5,15;5,09;4,98
"2026-01-08 09:25:00";4,97;5,18;5,13;5,04
"2026-01-08 09:30:00";5,04;5,22;5,16;5,1
"2026-01-08 09:35:00";5,11;5,25;5,19;5,15
"2026-01-08 09:40:00";5,17;5,28;5,22;5,19
"2026-01-08 09:45:00";5,22;5,29;5,23;5,23
"2026-01-08 09:50:00";5,28;5,3;5,25;5,26
"2026-01-08 09:55:00";5,34;5,3;5,26;5,29
"2026-01-08 10:00:00";5,38;5,29;5,25;5,33
"2026-01-08 10:05:00";5,42;5,29;5,26;5,36
"2026-01-08 10:10:00";5,45;5,28;5,24;5,38
"2026-01-08 10:15:00";5,46;5,26;5,23;5,38
"2026-01-08 10:20:00";5,47;5,25;5,22;5,38
"2026-01-08 10:25:00";5,48;5,23;5,21;5,38
"2026-01-08 10:30:00";5,47;5,21;5,19;5,36
"2026-01-08 10:35:00";5,46;5,18;5,16;5,33
"2026-01-08 10:40:00";5,44;5,14;5,14;5,31
"2026-01-08 10:45:00";5,42;5,11;5,1;5,28
"2026-01-08 10:50:00";5,39;5,05;5,06;5,26
"2026-01-08 10:55:00";5,36;4,99;5;5,22
"2026-01-08 11:00:00";5,33;4,93;4,94;5,19
"2026-01-08 11:05:00";5,3;4,86;4,88;5,14
"2026-01-08 11:10:00";5,26;4,79;4,81;5,1
"2026-01-08 11:15:00";5,21
"2026-01-08 11:20:00";5,16
"2026-01-08 11:25:00";5,1
"2026-01-08 11:30:00";5,02
