idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"10000298";;"373486";"1985477";"27572";"33167";"FLOIRAC";"1879-05-01";"La Souis.";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.527270000000000016";"44.832880000000003";
"63300070";;"369926";"2008889";"27572";"33067";"BOURG";"1990-01-01";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.58322734585668401";"45.0421483659006014";
"20300176";;"383780";"1970570";"27572";"33226";"LANGOIRAN";"1988-03-18";"Le Pied du Rocher";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.390687300000000015";"44.7021870000000021";
"10200043";;"376323.400000000023";"2008308.375";"27572";"33339";"PRIGNAC-ET-MARCAMPS";"1992-11-16";"Pair-Non-Pair";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.501850838294377044";"45.0390334946304023";
"63300071";;"370129";"2008851";"27572";"33067";"BOURG";"1990-01-01";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.580635622789302031";"45.0418745892234966";
"63300072";;"371846";"2008472";"27572";"33067";"BOURG";"1990-10-01";"Le Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.55868860171628798";"45.0390388415114984";
"63300073";;"371779";"2008469";"27572";"33067";"BOURG";"1990-11-19";"La Citadelle";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.559536650618914";"45.0389896712872968";
"63300074";;"371488";"2008522";"27572";"33067";"BOURG";"1993-01-01";"La Citadelle";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.563250856711797976";"45.0393695773817981";
"63300154";;"367309";"2010781";"27572";"33182";"GAURIAC";"1983-12-01";"Vitescale";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.617309745932072995";"45.0582757296001972";
"10200919";;"-0.549629999999999952";"45.0393600000000021";"4326";"33067";"BOURG";"2024-02-06";"Croute-Ouest";"2";"Chute de blocs / Eboulement";"1";"Fort";"11";"Quinzaine";"1";"Mètre";"-0.549629999999999952";"45.0393600000000021";
